# Gen Frequency (Hz), Gen Level (dBm), SA Level (dBm), Osc Voltage (V), S21 Gen-Sa (dB), S21 Gen-Det (dB), Det Level (dBm)
2.000000000000000000e+09,-2.000000000000000000e+00,-6.066601753234863281e+00,9.364560000000001156e-04,-3.780900904735452706e+00,-3.848752433365759895e+00,-5.998750224604556536e+00
2.000000000000000000e+09,-3.000000000000000000e+00,-6.935597419738769531e+00,3.730159999999999943e-04,-3.780900904735452706e+00,-3.848752433365759895e+00,-6.867745891108462786e+00
2.000000000000000000e+09,-4.000000000000000000e+00,-7.937130928039550781e+00,5.793200000000000709e-05,-3.780900904735452706e+00,-3.848752433365759895e+00,-7.869279399409244036e+00
2.000000000000000000e+09,-5.000000000000000000e+00,-8.941433906555175781e+00,-8.194800000000002245e-05,-3.780900904735452706e+00,-3.848752433365759895e+00,-8.873582377924869036e+00
2.500000000000000000e+09,1.500000000000000000e+01,1.089717769622802734e+01,3.628208000000000544e-01,-3.551133949580365101e+00,-3.884399973986677690e+00,1.123044372063434082e+01
2.500000000000000000e+09,1.400000000000000000e+01,9.898459434509277344e+00,3.088367999999999669e-01,-3.551133949580365101e+00,-3.884399973986677690e+00,1.023172545891559082e+01
2.500000000000000000e+09,1.300000000000000000e+01,8.655856132507324219e+00,2.508232000000001349e-01,-3.551133949580365101e+00,-3.884399973986677690e+00,8.989122156913637696e+00
2.500000000000000000e+09,1.200000000000000000e+01,7.635806083679199219e+00,2.113504000000000771e-01,-3.551133949580365101e+00,-3.884399973986677690e+00,7.969072108085512696e+00
2.500000000000000000e+09,1.100000000000000000e+01,6.615899562835693359e+00,1.779459999999999931e-01,-3.551133949580365101e+00,-3.884399973986677690e+00,6.949165587242005948e+00
2.500000000000000000e+09,1.000000000000000000e+01,5.570158958435058594e+00,1.454908000000000035e-01,-3.551133949580365101e+00,-3.884399973986677690e+00,5.903424982841371182e+00
2.500000000000000000e+09,9.000000000000000000e+00,4.524077415466308594e+00,1.187196000000000640e-01,-3.551133949580365101e+00,-3.884399973986677690e+00,4.857343439872621182e+00
2.500000000000000000e+09,8.000000000000000000e+00,3.480090141296386719e+00,9.572540000000001603e-02,-3.551133949580365101e+00,-3.884399973986677690e+00,3.813356165702699307e+00
2.500000000000000000e+09,7.000000000000000000e+00,2.425467491149902344e+00,7.430379999999998930e-02,-3.551133949580365101e+00,-3.884399973986677690e+00,2.758733515556214932e+00
2.500000000000000000e+09,6.000000000000000000e+00,1.363761067390441895e+00,5.695860000000002588e-02,-3.551133949580365101e+00,-3.884399973986677690e+00,1.697027091796754483e+00
2.500000000000000000e+09,5.000000000000000000e+00,3.073531091213226318e-01,4.267072000000000226e-02,-3.551133949580365101e+00,-3.884399973986677690e+00,6.406191335276352206e-01
2.500000000000000000e+09,4.000000000000000000e+00,-7.592629194259643555e-01,2.992048000000000277e-02,-3.551133949580365101e+00,-3.884399973986677690e+00,-4.259968950196513227e-01
2.500000000000000000e+09,3.000000000000000000e+00,-1.821549296379089355e+00,2.014552000000000356e-02,-3.551133949580365101e+00,-3.884399973986677690e+00,-1.488283271972776323e+00
2.500000000000000000e+09,2.000000000000000000e+00,-2.877633094787597656e+00,1.256311999999999880e-02,-3.551133949580365101e+00,-3.884399973986677690e+00,-2.544367070381284623e+00
2.500000000000000000e+09,1.000000000000000000e+00,-3.918005466461181641e+00,7.257860000000000526e-03,-3.551133949580365101e+00,-3.884399973986677690e+00,-3.584739442054868608e+00
2.500000000000000000e+09,0.000000000000000000e+00,-4.960244178771972656e+00,3.801752000000000256e-03,-3.551133949580365101e+00,-3.884399973986677690e+00,-4.626978154365659179e+00
2.500000000000000000e+09,-1.000000000000000000e+00,-5.978920936584472656e+00,1.780564000000000105e-03,-3.551133949580365101e+00,-3.884399973986677690e+00,-5.645654912178159179e+00
2.500000000000000000e+09,-2.000000000000000000e+00,-6.998892307281494141e+00,7.217080000000000500e-04,-3.551133949580365101e+00,-3.884399973986677690e+00,-6.665626282875180664e+00
2.500000000000000000e+09,-3.000000000000000000e+00,-7.802628517150878906e+00,2.708400000000000564e-04,-3.551133949580365101e+00,-3.884399973986677690e+00,-7.469362492744565429e+00
2.500000000000000000e+09,-4.000000000000000000e+00,-8.808808326721191406e+00,1.518000000000000204e-05,-3.551133949580365101e+00,-3.884399973986677690e+00,-8.475542302314877929e+00
2.500000000000000000e+09,-5.000000000000000000e+00,-9.799981117248535156e+00,-1.035440000000000102e-04,-3.551133949580365101e+00,-3.884399973986677690e+00,-9.466715092842221679e+00
3.000000000000000000e+09,1.500000000000000000e+01,1.080938243865966797e+01,3.512240000000000917e-01,-3.942043780355967364e+00,-3.910511418491132485e+00,1.077785007679483265e+01
3.000000000000000000e+09,1.400000000000000000e+01,9.805579185485839844e+00,2.956135999999999764e-01,-3.942043780355967364e+00,-3.910511418491132485e+00,9.774046823621004521e+00
3.000000000000000000e+09,1.300000000000000000e+01,8.769545555114746094e+00,2.489544000000000756e-01,-3.942043780355967364e+00,-3.910511418491132485e+00,8.738013193249910771e+00
